Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 10/22  04:00:00,16,5.9125,0,0,0,0,0,0,0,0,0,0,20.76811298,21.07632732,146.6519352,20.44404823,20.71542807,75.97034236,0.508205522,0.507670419,0,0,0,0,0,0,0,0,29173574.5,27000000
 10/22  05:00:00,16.625,7.6375,0,0,0,0,0,0,0,0,0,0,20.72957963,21.01797133,137.2009616,20.4167187,20.67021123,71.50205029,0.507062186,0.506547125,0,0,0,0,0,0,0,0,52237029.37,27000000
 10/22  06:00:00,17,7.575,0,0,0,0,0,0,0,0,0,0,20.99950961,21.15645612,55.42365926,20.44743451,20.67795406,61.20182201,0.506836173,0.505923448,0,0,0,321200.7798,0,0,0,0,51656363.42,27000000
 10/22  07:00:00,16.375,10.075,0,0,0,0,0,0,0,0,111246.2322,155772.6999,21,21.13632056,34.98771735,20.3420192,20.59579696,67.92151952,0.507911208,0.506832774,0,0,0,415734.3078,0,0,0,89104.18334,65485105.39,27000000
 10/22  08:00:00,17.25,9.8625,0,0,0,0,0,0,0,0,607826.6714,823029.2108,21.00805727,21.23385916,85.00055089,20.61692684,20.87701858,83.16452172,0.506404758,0.505798456,0,0,0,146799.1652,0,0,0,659652.9386,66448324.99,27000000
 10/22  09:00:00,18.625,13.8875,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1068237.778,1364813.208,23.75029628,23.05287684,-437.6056705,21.28842184,21.5262499,81.85946276,0.508778338,0.504630146,1134417.283,0,0.763141589,0,2345176.751,0,0,1444076.696,114975977.9,27000000
 10/22  10:00:00,19,18.9375,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1441909.227,1829124.841,23.99999984,23.39773404,-370.8680184,21.84971167,22.03914295,63.57947493,0.508462279,0.504891935,1194111.786,0,0.762667516,0,3556927.51,0,0,2067515.202,165330000,27000000
 10/22  11:00:00,20.25,16.225,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1740736.477,2151507.079,24,23.57628097,-236.0552554,22.3659152,22.52821909,62.50978435,0.506312839,0.503653254,920802.8928,0,0.759443466,0,4421970.938,0,0,2516133.677,165330000,27000000
 10/22  12:00:00,21.625,15.525,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1919908.445,2264501.016,24,23.73272665,-130.1752586,22.96168923,23.05445244,41.51312658,0.504070173,0.502462951,261600.6642,0,0.756079581,0,5203634.627,0,0,2708904.028,165330000,27000000
 10/22  13:00:00,22.625,12.625,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1892605.598,4773929.748,24,23.97310084,-26.82808655,24.02743345,24.25916672,129.9694049,0.502526359,0.502729532,12411.60743,43683.64087,0.753763939,0,5864853.837,0,0,2730329.009,115472977.3,27000000
 10/22  14:00:00,23,9.675,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1773204.318,5110161.642,24,24.11767164,37.09462639,25.23317537,25.24962154,33.69010769,0.501755839,0.504043204,81048.2331,5000.810392,0.752608198,0,6202902.055,0,0,2394186.843,65513201.39,27000000
 10/22  15:00:00,23,9.925,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,2536930.442,3581876.587,24,24.22351686,82.1798278,24.94582294,24.98159885,29.04493609,0.501654151,0.503455572,285296.0944,0,0.752455671,0,6365195.337,0,0,1925107.279,66130870.5,27000000
 10/22  16:00:00,23,7.7375,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,3986147.453,3283942.261,24,24.4544251,230.0487176,25.06667995,25.11435862,38.27096071,0.501614468,0.503601048,423160.0371,0,0.752396149,0,6897523.34,0,0,1185722.331,49920613.44,27000000
 10/22  17:00:00,21.75,4.8875,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,4688326.941,3525804.781,23.94918071,24.57904375,345.8801792,24.93858988,25.1161233,74.40734364,0.503736162,0.505537389,1436002.351,0,2.643142127,0,6186360.472,0,0,414091.3052,14121717.76,13500000
 10/22  18:00:00,19.125,2.85,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,620396.2373,716395.58,23.99989883,24.00238867,-6.446474906,24.07903335,23.99137531,-55.26978214,0.508380851,0.50859768,1400981.647,0,0.762545379,0,4976212.356,0,0,27206.72338,0,0
 10/22  19:00:00,18,2.1,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,24,23.77363678,-130.1464634,22.65429294,22.84875427,40.21698685,0.510144101,0.507918101,1758128.102,0,0.765190163,0,4142262.816,0,0,0,0,0
