Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 01/21  01:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.56227131,-103.5902719,12.26823964,12.73810307,175.558408,0.522881286,0.516992785,0,0,0,1933984.336,0,0,0,0,0,0
 01/21  02:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.51566443,-136.6709084,12.20465692,12.67236897,174.5613592,0.522874104,0.516877614,0,0,0,2053074.627,0,0,0,0,0,0
 01/21  03:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.47583827,-163.6726411,12.1474063,12.6131284,173.666928,0.522868189,0.516773913,0,0,0,2150280.865,0,0,0,0,0,0
 01/21  04:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.44085613,-186.1475763,12.09515143,12.55902343,172.8549096,0.522863389,0.516679261,0,0,0,2231190.632,0,0,0,0,0,0
 01/21  05:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.40932977,-204.9248506,12.04707589,12.50910012,172.0572663,0.522859506,0.516592179,0,0,0,2298788.819,0,0,0,0,0,0
 01/21  06:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21.10804468,18.82069856,-1800.91254,12.34083761,12.82417091,198.5916706,0.532886736,0.517227544,0,0,0,10345979.06,0,0,0,0,0,0
 01/21  07:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21.00000019,19.01434889,-1784.021677,12.61060568,13.06293874,186.5643362,0.532494906,0.51761293,0,0,0,8646186.159,0,0,0,0,0,0
 01/21  08:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21,19.12466942,-1665.16566,12.68741019,13.14160531,188.4817605,0.53248765,0.51775205,0,0,0,8219456.874,0,0,0,0,0,0
 01/21  09:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.23972339,-1541.2809,12.76696063,13.22221885,190.2678196,0.532547199,0.517896144,4177191.351,0,0.798793669,4588505.537,0,0,0,0,0,0
 01/21  10:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.29404327,-1481.325522,12.81881517,13.27350811,190.0167995,0.532589598,0.51799007,4025701.866,0,0.798857266,4372666.176,0,0,0,0,0,0
 01/21  11:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.33587055,-1437.442977,12.8562146,13.31131733,190.2922653,0.532597085,0.518057814,3998951.484,0,0.798868496,4214689.014,0,0,0,0,0,0
 01/21  12:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.36871324,-1403.659684,12.88612532,13.34185696,190.6767302,0.532600319,0.518111993,3987396.873,0,0.798873347,4093069.161,0,0,0,0,0,0
 01/21  13:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.39445677,-1377.343227,12.91015949,13.36631811,190.9301556,0.53260242,0.518155527,3979889.587,0,0.798876499,3998329.913,0,0,0,0,0,0
 01/21  14:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.41543233,-1356.100816,12.92944102,13.38605176,191.1881857,0.532604046,0.518190453,3974082.142,0,0.798878937,3921857.234,0,0,0,0,0,0
 01/21  15:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.43309998,-1338.255457,12.9460112,13.40293641,191.3814158,0.5326054,0.518220467,3969245.222,0,0.798880967,3857613.944,0,0,0,0,0,0
 01/21  16:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.44807382,-1323.181242,12.95986556,13.41705232,191.5507714,0.532606545,0.518245562,3965153.49,0,0.798882685,3803346.769,0,0,0,0,0,0
 01/21  17:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.46102574,-1310.245915,12.97152227,13.42894634,191.7038953,0.532607525,0.518266677,3961652.197,0,0.798884155,3756779.592,0,0,0,0,0,0
 01/21  18:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.47219715,-1299.128086,12.9813056,13.43891486,191.8306481,0.532608371,0.518284398,3958627.246,0,0.798885425,3716755.407,0,0,0,0,0,0
 01/21  19:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.48185941,-1289.528778,12.98946488,13.44718975,191.918967,0.532609109,0.518299177,3955992.7,0,0.798886531,3682197.899,0,0,0,0,0,0
 01/21  20:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,16.69709493,16.73075431,-37.46137087,12.73980072,13.15575339,156.4148522,0.525112021,0.518057598,0,0,0,98491.61168,0,0,0,0,0,0
 01/21  21:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.60000203,15.81456224,97.9205024,12.3633038,12.82264953,171.1516367,0.522885312,0.517164979,0,0,0,1188006.341,0,0,0,0,0,0
 01/21  22:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.68782866,-6.04511282,12.22670217,12.68817433,173.2192648,0.522891044,0.516917546,0,0,0,1582821.756,0,0,0,0,0,0
 01/21  23:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.60256391,-72.87642935,12.13166372,12.591138,172.1962963,0.522885873,0.516745398,0,0,0,1823414.503,0,0,0,0,0,0
 01/21  24:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.5377077,-121.1988222,12.05351261,12.5109769,171.2375164,0.522878209,0.516603838,0,0,0,1997375.117,0,0,0,0,0,0
 01/21  01:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.66176062,-22.99774434,12.80188227,13.24293413,160.2684573,0.520467161,0.515531496,0,0,0,1477629.121,0,0,0,0,0,0
 01/21  02:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.61510799,-57.12895361,12.73824433,13.17716549,159.2852164,0.520460419,0.515416766,0,0,0,1600501.474,0,0,0,0,0,0
 01/21  03:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.57565674,-85.21067022,12.68118348,13.11813177,158.4067077,0.520454547,0.515313893,0,0,0,1701595.654,0,0,0,0,0,0
 01/21  04:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.54137907,-108.8843626,12.62930574,13.06441992,157.6121322,0.520449612,0.515220365,0,0,0,1786820.946,0,0,0,0,0,0
 01/21  05:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.5109311,-129.1856443,12.58178288,13.01506669,156.8363801,0.520445511,0.515134688,0,0,0,1859905.56,0,0,0,0,0,0
 01/21  06:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,21.10728901,18.90994421,-1730.438803,12.86808531,13.32354757,182.7986597,0.53043344,0.515763673,0,0,0,9923297.868,0,0,0,0,0,0
 01/21  07:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,21.00000014,19.09987883,-1679.981591,13.13298239,13.55764522,170.9594188,0.530044684,0.516128424,0,0,0,8102434.008,0,0,0,0,0,0
 01/21  08:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,21,19.20880333,-1564.243774,13.2084878,13.63507486,172.8813836,0.530036728,0.516264549,0,0,0,7686875.576,0,0,0,0,0,0
 01/21  09:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.3233599,-1442.710989,13.28738106,13.71508862,174.6670656,0.530086173,0.516406783,3793573.5,0,0.795102256,3810506.208,0,0,0,0,0,0
 01/21  10:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.37727793,-1384.061809,13.33885309,13.76597249,174.4094673,0.530123585,0.51649958,3659954.495,0,0.795158372,3599369.163,0,0,0,0,0,0
 01/21  11:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.41885201,-1341.118661,13.37599812,13.80353121,174.6836173,0.530130911,0.516566547,3633792.255,0,0.79516936,3444773.827,0,0,0,0,0,0
 01/21  12:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.45151881,-1308.045949,13.40576204,13.83393249,175.0662296,0.530134035,0.516620207,3622634.137,0,0.795174046,3325712.064,0,0,0,0,0,0
 01/21  13:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.47714161,-1282.272453,13.42973363,13.85833871,175.3190462,0.530136023,0.516663425,3615534.575,0,0.795177028,3232927.48,0,0,0,0,0,0
 01/21  14:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.49803267,-1261.459608,13.44901052,13.87807828,175.5771959,0.530137544,0.516698178,3610100.996,0,0.795179309,3158001.238,0,0,0,0,0,0
 01/21  15:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.51564267,-1243.964577,13.46562469,13.89501779,175.7716541,0.530138806,0.516728131,3605592.384,0,0.795181203,3095019.125,0,0,0,0,0,0
 01/21  16:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.5305776,-1229.179068,13.47955901,13.90922603,175.9429185,0.530139874,0.516753253,3601779.71,0,0.795182804,3041791.293,0,0,0,0,0,0
 01/21  17:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.54350359,-1216.48527,13.49132581,13.92124293,176.0981478,0.530140788,0.516774467,3598516.13,0,0.795184175,2996093.622,0,0,0,0,0,0
 01/21  18:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.5546601,-1205.568965,13.50124432,13.93136,176.2274594,0.530141577,0.516792349,3595694.96,0,0.79518536,2956794.924,0,0,0,0,0,0
 01/21  19:00:00,4.2,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.56431516,-1196.138818,13.50955882,13.93980301,176.3186217,0.530142266,0.516807339,3593236.386,0,0.795186392,2922846.394,0,0,0,0,0,0
 01/21  20:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,17.28018811,17.16720102,-123.6849638,13.28222101,13.67533417,145.3212695,0.523756695,0.516645969,0,0,0,0,0,0,0,0,0,0
 01/21  21:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.65199421,15.95303334,165.3286783,12.92931523,13.3529073,152.6729243,0.520594032,0.515800625,0,0,0,572848.3893,0,0,0,0,0,0
 01/21  22:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.79678448,83.63456643,12.77477279,13.20785713,158.1813571,0.520468345,0.515482622,0,0,0,1093744.835,0,0,0,0,0,0
 01/21  23:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.70736651,13.56793739,12.67767661,13.10880407,157.0965905,0.520468531,0.515307571,0,0,0,1345992.667,0,0,0,0,0,0
 01/21  24:00:00,4.2,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.64070864,-37.32956366,12.59790124,13.02705959,156.1363986,0.520463407,0.515163747,0,0,0,1529223.67,0,0,0,0,0,0
 01/21  01:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.09419403,17.46892434,203.795135,16.05089983,16.36045539,96.39342845,0.511254925,0.509448969,0,0,0,0,0,0,0,0,0,0
 01/21  02:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.97176902,17.343166,200.7072081,15.98442949,16.29218501,95.39303697,0.511042038,0.509331877,0,0,0,0,0,0,0,0,0,0
 01/21  03:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.86343961,17.23156104,197.8063887,15.92303011,16.22888527,94.38104365,0.510852874,0.509223717,0,0,0,0,0,0,0,0,0,0
 01/21  04:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.76549232,17.13055922,195.1749113,15.86526158,16.16931533,93.44998575,0.510681335,0.509121954,0,0,0,0,0,0,0,0,0,0
 01/21  05:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.67603412,17.03821001,192.7343555,15.8108273,16.11311302,92.56070042,0.510524351,0.509026064,0,0,0,0,0,0,0,0,0,0
 01/21  06:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21.18806111,19.73807497,-1044.184392,15.98005423,16.30151992,110.4246351,0.518270731,0.509356328,0,0,0,5033311.905,0,0,0,0,0,0
 01/21  07:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21.00001074,19.79443089,-925.2859865,16.14396374,16.44384334,101.1879964,0.517777777,0.509612908,0,0,0,4543577.936,0,0,0,0,0,0
 01/21  08:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21,19.86827805,-857.9729418,16.18564304,16.48715737,102.8446275,0.517755822,0.50968633,0,0,0,4319247.105,0,0,0,0,0,0
 01/21  09:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.36164377,20.1857714,-893.1860412,16.25792024,16.56287,106.4736114,0.518527792,0.509813651,2796319.751,0,0.777765273,0,0,0,0,0,0,0
 01/21  10:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.5409978,20.36674705,-897.3117388,16.33247381,16.63383047,105.8468711,0.518973659,0.509944983,2369816.783,0,0.778434051,0,0,0,0,0,0,0
 01/21  11:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.63858831,20.47327424,-889.9724229,16.37638985,16.67784822,106.372464,0.519177308,0.510022344,2275301.464,0,0.778739513,0,0,0,0,0,0,0
 01/21  12:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.71687564,20.55983937,-883.1645852,16.41390977,16.71553256,106.8294895,0.519323332,0.510088439,2260633.64,0,0.778958542,0,0,0,0,0,0,0
 01/21  13:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.78130073,20.63122798,-877.4909858,16.44538761,16.74728815,107.2470379,0.519438392,0.510143889,2266564.921,0,0.779131127,0,0,0,0,0,0,0
 01/21  14:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.83613608,20.69203451,-872.6153888,16.47281138,16.77497684,107.6283759,0.51953486,0.510192198,2276775.267,0,0.779275824,0,0,0,0,0,0,0
 01/21  15:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.8838738,20.74499864,-868.3661034,16.49723129,16.79964987,107.9662006,0.519618432,0.510235216,2287108.822,0,0.779401177,0,0,0,0,0,0,0
 01/21  16:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.92529887,20.79090602,-864.7222178,16.51842617,16.82101553,108.2275518,0.519690837,0.510272552,2296482.778,0,0.779509781,0,0,0,0,0,0,0
 01/21  17:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.96196572,20.83179025,-861.3167256,16.53725344,16.84014589,108.5306655,0.5197549,0.510305718,2304865.118,0,0.779605873,0,0,0,0,0,0,0
 01/21  18:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.99502809,20.868599,-858.27912,16.55453963,16.85765879,108.7895812,0.519812664,0.510336169,2312431.167,0,0.779692515,0,0,0,0,0,0,0
 01/21  19:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,22.0248296,20.90179368,-855.5346159,16.57021851,16.87354796,109.0240759,0.519864729,0.510363788,2319257.091,0,0.77977061,0,0,0,0,0,0,0
 01/21  20:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,19.27221787,19.15324763,-108.8993483,16.41113842,16.69016239,89.94494146,0.515158784,0.510187119,0,0,0,0,0,0,0,0,0,0
 01/21  21:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.81562435,18.1191578,159.0484974,16.16614422,16.46144907,92.41383954,0.512502755,0.509669418,0,0,0,0,0,0,0,0,0,0
 01/21  22:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.38325914,17.7574296,207.3319274,16.0368632,16.33874448,94.79143888,0.511739744,0.509424243,0,0,0,0,0,0,0,0,0,0
 01/21  23:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.17809739,17.54770848,202.7911509,15.94263569,16.24339976,93.80769205,0.511390919,0.509258254,0,0,0,0,0,0,0,0,0,0
 01/21  24:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.01091286,17.37713985,199.4106561,15.86227123,16.1612698,92.65166108,0.511103914,0.509116686,0,0,0,0,0,0,0,0,0,0
 01/21  01:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.1105288,17.48599948,204.3890228,16.07331444,16.38318614,96.83022655,0.511283696,0.509488454,0,0,0,0,0,0,0,0,0,0
 01/21  02:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.98828895,17.36043352,201.3056055,16.00697604,16.31505287,95.83176923,0.511071136,0.509371594,0,0,0,0,0,0,0,0,0,0
 01/21  03:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.88013046,17.24900686,198.4091979,15.94570251,16.2518843,94.82177873,0.510882274,0.509263656,0,0,0,0,0,0,0,0,0,0
 01/21  04:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.78234368,17.14817269,195.781871,15.88805574,16.19244123,93.89261776,0.510711018,0.509162107,0,0,0,0,0,0,0,0,0,0
 01/21  05:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,16.69303711,17.05598212,193.3453038,15.83373912,16.13636161,93.00518314,0.510554301,0.509066425,0,0,0,0,0,0,0,0,0,0
 01/21  06:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21.18824867,19.74514176,-1038.169626,16.00194071,16.32364865,110.7760733,0.51831589,0.509406005,0,0,0,5011607.435,0,0,0,0,0,0
 01/21  07:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21.00001067,19.80045184,-919.2658033,16.16478951,16.46502653,101.5804812,0.51782946,0.509649595,0,0,0,4522020.978,0,0,0,0,0,0
 01/21  08:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,21,19.87389868,-852.4326735,16.20614583,16.5080092,103.2316582,0.517810468,0.509722447,0,0,0,4299535.826,0,0,0,0,0,0
 01/21  09:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.37187056,20.19748156,-891.2949906,16.27868248,16.58404655,106.9160355,0.518576911,0.509850226,2689897.202,0,0.777838948,0,0,0,0,0,0,0
 01/21  10:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.55356362,20.38055363,-895.8652632,16.35404141,16.65573356,106.270507,0.519003878,0.509982976,2344506.186,0,0.778479377,0,0,0,0,0,0,0
 01/21  11:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.65149309,20.48742139,-888.5254472,16.39809188,16.69988789,106.7979349,0.519202267,0.510060574,2270570.529,0,0.778776951,0,0,0,0,0,0,0
 01/21  12:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.72999504,20.57422408,-881.697827,16.43573855,16.73770008,107.2563011,0.519347021,0.510126892,2261720.554,0,0.778994075,0,0,0,0,0,0,0
 01/21  13:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.79457315,20.64578326,-876.0100653,16.46731663,16.76955766,107.6750995,0.519461894,0.510182519,2269286.831,0,0.779166378,0,0,0,0,0,0,0
 01/21  14:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.84952735,20.70672312,-871.1229479,16.49482636,16.79733439,108.0577151,0.519558443,0.510230979,2279971.187,0,0.779311198,0,0,0,0,0,0,0
 01/21  15:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.89736328,20.75979789,-866.8638732,16.5193238,16.82208716,108.3967539,0.519642152,0.510274133,2290453.735,0,0.779436756,0,0,0,0,0,0,0
 01/21  16:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.93895966,20.80595126,-863.1628837,16.54067024,16.84365658,108.6823546,0.519714848,0.510311737,2299899.899,0,0.779545796,0,0,0,0,0,0,0
 01/21  17:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21.97582969,20.84694914,-859.8134352,16.55972455,16.8629231,108.9488462,0.519779264,0.510345302,2308341.275,0,0.779642417,0,0,0,0,0,0,0
 01/21  18:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,22.00879079,20.88370555,-856.7493372,16.57689104,16.88036356,109.2241161,0.519836848,0.510375542,2315896.683,0,0.77972879,0,0,0,0,0,0,0
 01/21  19:00:00,10.7,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,22.038644,20.91695972,-853.9991268,16.59261855,16.89630365,109.4595208,0.519889004,0.510403247,2322735.162,0,0.779807021,0,0,0,0,0,0,0
 01/21  20:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,19.28776103,19.16974185,-108.1934154,16.43383228,16.71323875,90.40630283,0.5152223,0.510262904,0,0,0,0,0,0,0,0,0,0
 01/21  21:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.83202106,18.13638719,159.6844281,16.18919117,16.4848578,92.8695575,0.512537664,0.509716043,0,0,0,0,0,0,0,0,0,0
 01/21  22:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.40010129,17.77505599,207.9485408,16.06010603,16.36234719,95.24442521,0.51176939,0.509465187,0,0,0,0,0,0,0,0,0,0
 01/21  23:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.19519283,17.56559653,203.4134437,15.96603727,16.26716656,94.26279602,0.511421021,0.509299478,0,0,0,0,0,0,0,0,0,0
 01/21  24:00:00,10.7,2.2,0,0,0,0,0,0,0,0,0,0,17.02823057,17.39525747,200.03769,15.88581737,16.18518661,93.10884177,0.511134412,0.509158164,0,0,0,0,0,0,0,0,0,0
 01/21  01:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,17.64639685,17.99276599,182.0837324,16.61960768,16.9042937,84.67617541,0.51007066,0.508301803,0,0,0,0,0,0,0,0,67956863.13,27000000
 01/21  02:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,17.52856224,17.87162213,179.1528785,16.55741922,16.84030132,83.75325647,0.509866957,0.508192715,0,0,0,0,0,0,0,0,67956863.13,27000000
 01/21  03:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,17.42471851,17.76454286,176.4065361,16.50022706,16.78121867,82.82108457,0.5096866,0.50809239,0,0,0,0,0,0,0,0,67956863.13,27000000
 01/21  04:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,17.33117735,17.66799584,173.9235161,16.44662501,16.72583002,81.96691715,0.509523599,0.507998364,0,0,0,0,0,0,0,0,67956863.13,27000000
 01/21  05:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,17.24603319,17.5800164,171.6275409,16.3962922,16.67375079,81.15354665,0.509374896,0.507910072,0,0,0,0,0,0,0,0,67956863.13,27000000
 01/21  06:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,21.18711881,19.91820099,-886.9981716,16.51406309,16.8175198,100.0315547,0.516496079,0.508301851,0,0,0,4201756.996,0,0,0,0,67956863.13,27000000
 01/21  07:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,21.00000014,19.94431324,-783.679509,16.65839181,16.93418,88.53832093,0.51599385,0.508369836,0,0,0,3882134.156,0,0,0,0,67956863.13,27000000
 01/21  08:00:00,11.9,11.4,0,0,0,0,0,0,0,0,0,0,21,20.00383949,-731.8713765,16.68973422,16.96685691,89.38709808,0.516000314,0.508424816,0,0,0,3718977.673,0,0,0,0,67956863.13,27000000
