Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 07/01  14:00:00,23.625,0.0,57.6339651272034,605156.633835636,17112386.5720144,26.1979129143821,24.1184674312684,25.1581901728252,0.250417581228609,18.0300658484599 
 07/01  15:00:00,23.375,0.0,57.6339651272034,605156.633835636,13060388.7325842,26.7683150692622,24.0502713888555,25.4092932290589,0.250571115609559,18.0411203238882 
 07/01  16:00:00,22.375,0.0,57.6339651272034,605156.633835636,8949178.40325864,26.7704104278696,23.3064635280466,25.0384369779581,0.250789915009435,18.0568738806793 
 07/01  17:00:00,21.375,0.0,57.6339651272034,605156.633835636,7033450.50224444,26.5144154454728,22.5042094725303,24.5093124590016,0.250960354382467,18.0691455155376 
 07/01  18:00:00,20.375,0.0,57.6339651272034,605156.633835636,5528691.80545417,26.0649851462256,21.9913542227969,24.0281696845112,0.251498050484882,13.7438876903004 
 07/01  19:00:00,19.375,0.0,57.6339651272034,605156.633835636,3091637.12729837,25.456057222591,21.4353393805671,23.4456983015791,0.251762710219702,10.0705084087881 
 07/01  20:00:00,17.75,0.0,57.6339651272034,605156.633835636,239014.865233026,24.385158048088,20.0680618538531,22.2266099509705,0.25212423979598,10.0849695918392 
 07/01  21:00:00,16.375,0.0,57.6339651272034,605156.633835636,0.0,23.2622611133405,18.752827528412,21.0075443208763,0.504111467427096,10.0822293485419 
 07/01  22:00:00,16.,0.0,57.6339651272034,605156.633835636,0.0,22.3442909361774,18.1758576018242,20.2600742690008,0.503769311944153,10.0753862388831 
 07/01  23:00:00,14.125,0.0,57.6339651272034,605156.633835636,0.0,21.4635793531427,17.8271430660875,19.6453612096151,0.506780784076653,5.47330061529779 
 07/01  24:00:00,13.,0.0,57.6339651272034,605156.633835636,0.0,20.9270556261059,17.6730051003558,19.3000303632309,0.508539351044102,3.37580055331298 
 07/02  01:00:00,13.,0.0,57.6339651272034,605156.633835636,0.0,20.4480866604492,17.3773341556073,18.9127104080283,0.508027921416352,3.37344704800287 
 07/02  02:00:00,13.,0.0,57.6339651272034,605156.633835636,0.0,19.9632407209122,17.0054605583105,18.4843506396114,0.507375808680952,3.37147299141285 
 07/02  03:00:00,13.625,0.0,57.6339651272034,605156.633835636,0.0,19.5999857960408,16.9661324669792,18.28305913151,0.506224295849961,3.36695010747206 
 07/02  04:00:00,13.375,0.0,57.6339651272034,605156.633835636,0.0,19.2282222865397,16.6512861407046,17.9397542136222,0.506076584733497,3.36637036550595 
 07/02  05:00:00,13.,0.0,57.6339651272034,605156.633835636,132450.4190675,18.836349361568,17.1198156344288,17.9780824979984,0.507486544910458,1.68319937308563 
 07/02  06:00:00,13.625,0.0,57.6339651272034,605156.633835636,1647742.9024489,18.7561706684118,16.9697646229194,17.8629676456656,0.50619316748991,2.10026334154522 
 07/02  07:00:00,16.5,0.0,57.6339651272034,605156.633835636,3987395.0833832,19.0698439083626,17.615752662514,18.3427982854383,0.251142222805109,6.271241709651 
 07/02  08:00:00,18.625,0.0,57.6339651272034,605156.633835636,5899242.05139307,19.7216077925697,18.9247020455457,19.3231549190577,0.250258546917187,10.0103418766875 
 07/02  09:00:00,20.25,0.0,57.6339651272034,605156.633835636,8032630.95952452,20.5401202112341,20.3034591480636,20.4217896796489,0.250150785865146,6.25623694876093 
 07/02  10:00:00,21.625,0.0,57.6339651272034,605156.633835636,12080327.7043989,21.6636064309813,21.6159256391955,21.6397660350884,0.250064270155518,7.004992000771 
 07/02  11:00:00,23.25,0.0,57.6339651272034,605156.633835636,17123067.0892259,23.3805489515906,23.167108133272,23.2738285424313,0.250068753510521,4.50315550758305 
 07/02  12:00:00,25.875,0.0,57.6339651272034,605156.633835636,20108914.4678096,25.4253273581475,25.1930613474532,25.3091943528003,0.249591090534181,0.0 
 07/02  13:00:00,28.25,0.0,57.6339651272034,605156.633835636,19863243.8333663,27.2321794692704,27.1206198186108,27.1763996439406,0.249192426740401,0.0 
 07/02  14:00:00,28.375,0.0,57.6339651272034,605156.633835636,17216748.8804766,28.6217044580816,28.2710056029578,28.4463550305197,0.249974478964675,9.00453635037963 
