Date/Time,SomeCategory:Some subcategory [x](Hourly),SomeCategory:Some other subcategory,SomeOtherCategory:yet another subcategory [x](Hourly)
 03/01  24:00:00,11.325,1.875,0.37161216
 03/02  01:00:00,11.1,0.7875,0
 03/02  02:00:00,10.7875,0,0
 03/02  03:00:00,10.9125,0,0
 03/02  04:00:00,10.4125,0,0
 03/02  05:00:00,9.625,0,0
 03/02  06:00:00,9.4,0,0
 03/02  07:00:00,10.4625,2.5625,0.74322432
 03/02  08:00:00,11.475,2.475,1.48644864
 03/02  09:00:00,13.075,1.875,7.06063104
 03/02  10:00:00,14.9625,2.725,7.06063104
 03/02  11:00:00,15.6,3.1,7.06063104
 03/02  12:00:00,16.2875,3.1,7.06063104
 03/02  13:00:00,16.325,3.4125,3.7161216
 03/02  14:00:00,18.1625,2.975,7.06063104
 03/02  15:00:00,19.0875,4.225,7.06063104
 03/02  16:00:00,19.9625,4.5125,7.06063104
 03/02  17:00:00,20.9125,3.475,7.06063104
 03/02  18:00:00,19.725,4.725,5.20257024
 03/02  19:00:00,17.15,6.95,2.97289728
 03/02  20:00:00,15.0375,6.1375,2.97289728
 03/02  21:00:00,13.7125,4.5125,0.74322432
 03/02  22:00:00,13.3,4.7875,0.74322432
 03/02  23:00:00,13.3,5.2,0.37161216
 03/02  24:00:00,13.3,3.8875,0.37161216
 03/03  01:00:00,12.6125,4.4125,0
 03/03  02:00:00,11.8875,3.2625,0
 03/03  03:00:00,11.325,0.7875,0
 03/03  04:00:00,11.1,0,0
 03/03  05:00:00,10.4125,0,0
 03/03  06:00:00,10,1.3125,0
 03/03  07:00:00,10,2.725,0.74322432
 03/03  08:00:00,11.75,2.7875,0.74322432
 03/03  09:00:00,13.8,3.5375,3.7161216
 03/03  10:00:00,15.15,3.475,3.7161216
 03/03  11:00:00,15.9125,2.475,3.7161216
 03/03  12:00:00,17.475,1.725,3.7161216
 03/03  13:00:00,18.675,2.8125,3.7161216
 03/03  14:00:00,18.2125,5.5375,3.7161216
 03/03  15:00:00,17.1125,7.0125,0.74322432
 03/03  16:00:00,16.325,6.8875,0.74322432
 03/03  17:00:00,15.7875,6.7,0.74322432
 03/03  18:00:00,15.6,6.075,0
 03/03  19:00:00,15.225,5.3875,0
 03/03  20:00:00,14.625,5.5125,0
 03/03  21:00:00,13.7125,4.7,0
 03/03  22:00:00,12.9875,2.85,0
 03/03  23:00:00,12.8,3.35,0
 03/03  24:00:00,12.425,3.7875,0
 03/04  01:00:00,12.2,3.2875,0
 03/04  02:00:00,11.8875,3.1,0
 03/04  03:00:00,11.7,3.4125,0
 03/04  04:00:00,12.0125,3.2875,0
 03/04  05:00:00,11.8875,2.7875,0
 03/04  06:00:00,11.7,0.975,0
 03/04  07:00:00,11.7,1.625,0
 03/04  08:00:00,11.7,2.9125,0
 03/04  09:00:00,12.0125,1.1625,0
 03/04  10:00:00,12.575,0.9375,0
 03/04  11:00:00,13.4875,2.5,0
 03/04  12:00:00,14.2125,3.4125,0
 03/04  13:00:00,15.8375,7.475,0
 03/04  14:00:00,17.0125,8.4875,0
 03/04  15:00:00,17.8875,8.0125,0
 03/04  16:00:00,16.925,8.2,0
 03/04  17:00:00,14.725,9.2,0
 03/04  18:00:00,13.9,7.55,0
 03/04  19:00:00,13.9,4.8875,0
 03/04  20:00:00,13.9,2.85,0
 03/04  21:00:00,13.9,2.725,0
 03/04  22:00:00,13.525,2.7875,0
 03/04  23:00:00,13.675,2.6,0
 03/04  24:00:00,13.9,2.9125,0
 03/05  01:00:00,13.525,2.475,0
 03/05  02:00:00,13.675,0.7875,0
 03/05  03:00:00,12.8375,1.3125,0
 03/05  04:00:00,12.575,2.4125,0
 03/05  05:00:00,12.425,3.225,0
 03/05  06:00:00,12.2,2.975,0
 03/05  07:00:00,11.8875,2.9125,0.74322432
 03/05  08:00:00,12.0125,4.0375,1.48644864
 03/05  09:00:00,12.2,4.975,7.06063104
 03/05  10:00:00,12.8875,5.2,7.06063104
 03/05  11:00:00,13.3,4.5125,7.06063104
 03/05  12:00:00,13.675,4.7875,7.06063104
 03/05  13:00:00,13.525,4.825,3.7161216
 03/05  14:00:00,13.3,5.2875,7.06063104
 03/05  15:00:00,13.675,6.0125,7.06063104
 03/05  16:00:00,13.525,6.5125,7.06063104
 03/05  17:00:00,12.9875,6.3875,7.06063104
 03/05  18:00:00,12.8,6.2,5.20257024
 03/05  19:00:00,12.425,5.575,2.97289728
 03/05  20:00:00,12.2,5.2,2.97289728
 03/05  21:00:00,11.8875,4.5125,0.74322432
 03/05  22:00:00,11.7,4.1,0.74322432
 03/05  23:00:00,11.7,3.475,0.37161216
 03/05  24:00:00,10.6375,2.475,0.37161216
 03/06  01:00:00,10,2.1,0
 03/06  02:00:00,9.625,3.35,0
 03/06  03:00:00,9.4,2.85,0
 03/06  04:00:00,9.775,2.1,0
 03/06  05:00:00,10,2.4125,0
 03/06  06:00:00,10,2.2875,0
 03/06  07:00:00,9.625,2.1,0.74322432
 03/06  08:00:00,10.4625,2.1,1.48644864
 03/06  09:00:00,11.7875,2.4125,7.06063104
 03/06  10:00:00,13.95,2.2875,7.06063104
 03/06  11:00:00,15.6875,0.7875,7.06063104
 03/06  12:00:00,16.475,1.625,7.06063104
 03/06  13:00:00,18.075,2.6,3.7161216
 03/06  14:00:00,19.5875,0.975,7.06063104
 03/06  15:00:00,19.625,2.25,7.06063104
 03/06  16:00:00,18.7125,4.9125,7.06063104
 03/06  17:00:00,17.6125,7.2625,7.06063104
 03/06  18:00:00,16.2,6.95,5.20257024
 03/06  19:00:00,15.225,5.575,2.97289728
 03/06  20:00:00,15,6.1375,2.97289728
 03/06  21:00:00,13.9375,5.075,0.74322432
 03/06  22:00:00,12.9875,3.475,0.74322432
 03/06  23:00:00,12.425,4.0375,0.37161216
 03/06  24:00:00,11.8875,4.2875,0.37161216
 03/07  01:00:00,12.0125,4.4125,0
 03/07  02:00:00,12.2,3.35,0
 03/07  03:00:00,11.2,2.2875,0
 03/07  04:00:00,10.9125,2.1,0
 03/07  05:00:00,10.4125,2.1,0
 03/07  06:00:00,10.375,1.725,0
 03/07  07:00:00,10.225,1.875,0.74322432
 03/07  08:00:00,11.375,0.7875,1.48644864
 03/07  09:00:00,13.575,1.625,7.06063104
 03/07  10:00:00,15.4625,2.6,7.06063104
 03/07  11:00:00,17.1625,2.2875,7.06063104
 03/07  12:00:00,19.55,1.725,7.06063104
 03/07  13:00:00,21.2875,2.5,3.7161216
 03/07  14:00:00,21.7,3.1,7.06063104
 03/07  15:00:00,19.95,6.2875,7.06063104
 03/07  16:00:00,17.8375,7.8875,7.06063104
 03/07  17:00:00,17.2,6.7625,7.06063104
 03/07  18:00:00,15.1375,6.825,5.20257024
 03/07  19:00:00,12.8375,6.575,2.97289728
 03/07  20:00:00,12.8875,4.8875,2.97289728
 03/07  21:00:00,11.6125,4.4125,0.74322432
 03/07  22:00:00,10.225,3.975,0.74322432
 03/07  23:00:00,9.625,3.2875,0.37161216
 03/07  24:00:00,9.775,3.725,0.37161216
 03/08  01:00:00,9.3125,4.7875,0
 03/08  02:00:00,8.9,4.825,0
 03/08  03:00:00,8.525,3.975,0
 03/08  04:00:00,7.9875,3.2875,0
 03/08  05:00:00,7.8,1.1625,0
 03/08  06:00:00,7.425,0.9375,0
 03/08  07:00:00,7.2,1.5,0.74322432
 03/08  08:00:00,8.575,0.5625,1.48644864
 03/08  09:00:00,10.15,0.9375,7.06063104
 03/08  10:00:00,11.6,2.5,7.06063104
 03/08  11:00:00,12.8875,2.7875,7.06063104
 03/08  12:00:00,14.3625,2.9125,7.06063104
 03/08  13:00:00,16.0625,4.725,3.7161216
 03/08  14:00:00,16.7,4.7,7.06063104
 03/08  15:00:00,16.7,6.35,7.06063104
 03/08  16:00:00,16.0125,8.3875,7.06063104
 03/08  17:00:00,14.85,8.8,7.06063104
 03/08  18:00:00,13.025,6.8625,5.20257024
 03/08  19:00:00,11.5125,5.3875,2.97289728
 03/08  20:00:00,10.7875,5.5125,2.97289728
 03/08  21:00:00,10.225,4.075,0.74322432
 03/08  22:00:00,10,2.7875,0.74322432
 03/08  23:00:00,10,2.6,0.37161216
 03/08  24:00:00,10.375,2.2875,0.37161216
 03/09  01:00:00,9.85,0.7875,0
 03/09  02:00:00,9.4,1.3125,0
 03/09  03:00:00,9.4,0.7875,0
 03/09  04:00:00,9.0875,1.3125,0
 03/09  05:00:00,9.5875,0.7875,0
 03/09  06:00:00,9.625,1.3125,0
 03/09  07:00:00,9.775,2.725,0.74322432
 03/09  08:00:00,10.6875,2.7875,1.48644864
 03/09  09:00:00,11.7875,2.6,7.06063104
 03/09  10:00:00,12.575,2.6,7.06063104
 03/09  11:00:00,13.4875,3.225,7.06063104
 03/09  12:00:00,14.5875,3.6,7.06063104
 03/09  13:00:00,15,3.6,3.7161216
 03/09  14:00:00,15.375,3.2875,7.06063104
 03/09  15:00:00,15.6,5.975,7.06063104
 03/09  16:00:00,14.1625,6.1375,7.06063104
 03/09  17:00:00,12.9875,8.3875,7.06063104
 03/09  18:00:00,12.425,5.8,5.20257024
 03/09  19:00:00,12.2,3.725,2.97289728
 03/09  20:00:00,11.8875,4.1,2.97289728
 03/09  21:00:00,11.7,3.7875,0.74322432
 03/09  22:00:00,11.7,3.2875,0.74322432
 03/09  23:00:00,11.325,2.475,0.37161216
 03/09  24:00:00,11.1,2.1,0.37161216
 03/10  01:00:00,11.1,2.1,0
 03/10  02:00:00,10.7875,2.4125,0
 03/10  03:00:00,9.85,1.9125,0
 03/10  04:00:00,10.4625,0.5625,0
 03/10  05:00:00,11.475,1.625,0
 03/10  06:00:00,11.7,2.6,0
 03/10  07:00:00,11.7,2.6,0.74322432
 03/10  08:00:00,11.7,0.975,0.74322432
 03/10  09:00:00,12.3875,0.9375,3.7161216
 03/10  10:00:00,13.4875,2.8125,3.7161216
 03/10  11:00:00,13.9,3.2875,3.7161216
 03/10  12:00:00,14.9625,4.4125,3.7161216
 03/10  13:00:00,15.225,5.5125,3.7161216
 03/10  14:00:00,14.625,6.0125,3.7161216
 03/10  15:00:00,14.4,6.5125,0.74322432
 03/10  16:00:00,14.0875,6.3875,0.74322432
 03/10  17:00:00,13.525,8.1375,0.74322432
 03/10  18:00:00,12.9875,7.675,0
 03/10  19:00:00,12.425,7.6375,0
 03/10  20:00:00,12.2,9.2,0
 03/10  21:00:00,11.8875,9.175,0
 03/10  22:00:00,11.325,10.675,0
 03/10  23:00:00,11.1,9.925,0
 03/10  24:00:00,10.7875,7.8,0
 03/11  01:00:00,10.225,6.2625,0
 03/11  02:00:00,10,5.3875,0
 03/11  03:00:00,9.625,4.825,0
 03/11  04:00:00,9.0875,4.2875,0
 03/11  05:00:00,8.525,3.475,0
 03/11  06:00:00,8.675,2.7875,0
 03/11  07:00:00,8.9,2.6,0
 03/11  08:00:00,10.9625,1.9125,0
 03/11  09:00:00,12.8875,1.875,0
 03/11  10:00:00,13.675,2.725,0
 03/11  11:00:00,13.9,3.1,0
 03/11  12:00:00,15.65,4.0375,0
 03/11  13:00:00,17.3875,5.6,0
 03/11  14:00:00,17.1125,7.825,0
 03/11  15:00:00,16.7,8.425,0
 03/11  16:00:00,16.7,8.2,0
 03/11  17:00:00,16.0125,10.1375,0
 03/11  18:00:00,14.85,10.05,0
 03/11  19:00:00,14.0875,7.9875,0
 03/11  20:00:00,13.525,5.95,0
 03/11  21:00:00,13.3,4.5125,0
 03/11  22:00:00,15.425,5.4125,0
 03/11  23:00:00,15.6375,3.6375,0
 03/11  24:00:00,15,2.1,0
 03/12  01:00:00,13.625,2.1,0
 03/12  02:00:00,12.8,0.7875,0
 03/12  03:00:00,14.8625,4.5,0
 03/12  04:00:00,15.4125,9.1375,0
 03/12  05:00:00,15,10.3,0
 03/12  06:00:00,14.625,9.3625,0
 03/12  07:00:00,14.775,12.9875,0.74322432
 03/12  08:00:00,15.375,11.9375,1.48644864
 03/12  09:00:00,16.2875,7.2375,7.06063104
 03/12  10:00:00,17.7,4.3875,7.06063104
 03/12  11:00:00,19.3625,2.6625,7.06063104
 03/12  12:00:00,20.6875,2.725,7.06063104
 03/12  13:00:00,21.7875,2.1,3.7161216
 03/12  14:00:00,22.8875,2.1875,7.06063104
 03/12  15:00:00,23.675,2.2875,7.06063104
 03/12  16:00:00,23.9,1.725,7.06063104
 03/12  17:00:00,23.525,1.875,7.06063104
 03/12  18:00:00,22.3,1.725,5.20257024
 03/12  19:00:00,19.95,2.5,2.97289728
 03/12  20:00:00,17.8375,2.1,2.97289728
 03/12  21:00:00,16.5125,1.5,0.74322432
 03/12  22:00:00,15.4125,0.5625,0.74322432
 03/12  23:00:00,13.9375,0,0.37161216
 03/12  24:00:00,12.9875,0.9375,0.37161216
 03/13  01:00:00,12.8,0.5625,0
 03/13  02:00:00,11.425,0,0
 03/13  03:00:00,10.6,0.9375,0
 03/13  04:00:00,9.85,1.875,0
 03/13  05:00:00,8.7125,2.4125,0
 03/13  06:00:00,8.3,2.2875,0
 03/13  07:00:00,8.3,1.725,0.74322432
 03/13  08:00:00,11.8,0.5625,1.48644864
 03/13  09:00:00,14.9625,0.9375,7.06063104
 03/13  10:00:00,15.9125,2.1875,7.06063104
 03/13  11:00:00,16.475,2.6,7.06063104
 03/13  12:00:00,18.075,2.9125,7.06063104
 03/13  13:00:00,19.9625,3.1,3.7161216
 03/13  14:00:00,21.975,2.7875,7.06063104
 03/13  15:00:00,22.8,2.9125,7.06063104
 03/13  16:00:00,23.4875,4.725,7.06063104
 03/13  17:00:00,23.2125,6.325,7.06063104
 03/13  18:00:00,21.05,6.075,5.20257024
 03/13  19:00:00,17.9375,6.6375,2.97289728
 03/13  20:00:00,16.325,6.8875,2.97289728
 03/13  21:00:00,15.4125,5.7625,0.74322432
 03/13  22:00:00,14.625,4.825,0.74322432
 03/13  23:00:00,13.7125,4.6,0.37161216
 03/13  24:00:00,12.6125,3.6625,0.37161216
 03/14  01:00:00,11.8875,2.475,0
 03/14  02:00:00,11.325,0.7875,0
 03/14  03:00:00,10.4125,2.25,0
 03/14  04:00:00,10,4.6,0
 03/14  05:00:00,9.3125,4.5125,0
 03/14  06:00:00,8.2125,3.1625,0
 03/14  07:00:00,8.4875,2.2875,0.74322432
 03/14  08:00:00,10.275,2.4125,1.48644864
 03/14  09:00:00,12.85,2.6,7.06063104
 03/14  10:00:00,14.9625,2.9125,7.06063104
 03/14  11:00:00,15.9125,3.1,7.06063104
 03/14  12:00:00,16.7875,3.4125,7.06063104
 03/14  13:00:00,17.8875,2.975,3.7161216
 03/14  14:00:00,19.7375,2.9125,7.06063104
 03/14  15:00:00,21.6,5.0375,7.06063104
 03/14  16:00:00,20.1375,6.5125,7.06063104
 03/14  17:00:00,18.2125,7.0125,7.06063104
 03/14  18:00:00,15.675,6.575,5.20257024
 03/14  19:00:00,14.0875,5.575,2.97289728
 03/14  20:00:00,13.525,3.575,2.97289728
 03/14  21:00:00,12.9875,3.5375,0.74322432
 03/14  22:00:00,11.7375,3.475,0.74322432
 03/14  23:00:00,11.1,3.1,0.37161216
 03/14  24:00:00,10.7875,2.7875,0.37161216
 03/15  01:00:00,9.85,2.2875,0
 03/15  02:00:00,9.4,2.1,0
 03/15  03:00:00,8.7125,2.725,0
 03/15  04:00:00,9.3625,2.475,0
 03/15  05:00:00,10,3.6625,0
 03/15  06:00:00,9.625,4.975,0
 03/15  07:00:00,9.4,3.8875,0.74322432
 03/15  08:00:00,10.4625,3.1,1.48644864
 03/15  09:00:00,12.1625,2.7875,7.06063104
 03/15  10:00:00,13.4875,1.9125,7.06063104
 03/15  11:00:00,14.9625,2.5,7.06063104
 03/15  12:00:00,15.9125,4.4125,7.06063104
 03/15  13:00:00,16.1,6.1375,3.7161216
 03/15  14:00:00,16.7875,5.7625,7.06063104
 03/15  15:00:00,17.2,5.825,7.06063104
 03/15  16:00:00,16.8875,5.2,7.06063104
 03/15  17:00:00,16.325,5.6,7.06063104
 03/15  18:00:00,15.0375,5.2,5.20257024
 03/15  19:00:00,14.4,3.6625,2.97289728
 03/15  20:00:00,13.7125,2.475,2.97289728
 03/15  21:00:00,13.3,2.4125,0.74322432
 03/15  22:00:00,12.9875,2.6,0.74322432
 03/15  23:00:00,12.8,2.6,0.37161216
 03/15  24:00:00,13.1125,2.2875,0.37161216
 03/16  01:00:00,13.3,0.7875,0
 03/16  02:00:00,13.675,2.5625,0
 03/16  03:00:00,13.525,5.1,0
 03/16  04:00:00,13.3,5.3875,0
 03/16  05:00:00,13.3,5.2,0
 03/16  06:00:00,12.9875,5.825,0
 03/16  07:00:00,12.8,5.2,0.74322432
 03/16  08:00:00,12.8,4.975,1.48644864
 03/16  09:00:00,12.8,5.5125,7.06063104
 03/16  10:00:00,13.1125,5.0125,7.06063104
 03/16  11:00:00,13.675,4.975,7.06063104
 03/16  12:00:00,13.9,5.2,7.06063104
 03/16  13:00:00,13.9,5.5125,3.7161216
 03/16  14:00:00,13.9,5.7,7.06063104
 03/16  15:00:00,13.9,4.7,7.06063104
 03/16  16:00:00,14.2125,5.725,7.06063104
 03/16  17:00:00,13.7125,7.6375,7.06063104
 03/16  18:00:00,12.6125,7.575,5.20257024
 03/16  19:00:00,11.8875,6.8875,2.97289728
 03/16  20:00:00,11.0125,6.7,2.97289728
 03/16  21:00:00,10.6,6.3875,0.74322432
 03/16  22:00:00,10.6,5.8875,0.74322432
 03/16  23:00:00,10.6,4.7,0.37161216
 03/16  24:00:00,10.225,4.4125,0.37161216
 03/17  01:00:00,10,4.6,0
 03/17  02:00:00,9.625,3.0375,0
 03/17  03:00:00,9.0875,1.725,0
 03/17  04:00:00,8.525,0.5625,0
 03/17  05:00:00,7.3,1.9375,0
 03/17  06:00:00,6.7,2.7875,0
 03/17  07:00:00,7.0125,1.9125,0.74322432
 03/17  08:00:00,9.325,1.5,0.74322432
 03/17  09:00:00,11.975,0.5625,3.7161216
 03/17  10:00:00,13.1125,1.3125,3.7161216
 03/17  11:00:00,13.675,2.4125,3.7161216
 03/17  12:00:00,14.2125,3.225,3.7161216
 03/17  13:00:00,15.4625,2.6625,3.7161216
 03/17  14:00:00,16.475,2.4125,3.7161216
 03/17  15:00:00,17.3875,0.975,0.74322432
 03/17  16:00:00,15.675,5.125,0.74322432
 03/17  17:00:00,14.0875,8.575,0.74322432
 03/17  18:00:00,13.2125,8.425,0
 03/17  19:00:00,12.1125,7.8875,0
 03/17  20:00:00,11.7,7.3875,0
 03/17  21:00:00,11.325,6.575,0
 03/17  22:00:00,11.1,5.2,0
 03/17  23:00:00,11.1,4.6,0
 03/17  24:00:00,11.1,3.35,0
 03/18  01:00:00,11.1,2.2875,0
 03/18  02:00:00,10.7875,1.725,0
 03/18  03:00:00,10.9125,0.5625,0
 03/18  04:00:00,11.1,1.625,0
 03/18  05:00:00,10.7875,1.9125,0
 03/18  06:00:00,10.6,3.4375,0
 03/18  07:00:00,10.9125,4.2875,0
 03/18  08:00:00,11.7875,4.7875,0
 03/18  09:00:00,12.8875,5.2,0
 03/18  10:00:00,12.9875,5.2,0
 03/18  11:00:00,13.4875,4.825,0
 03/18  12:00:00,14.2125,5.2875,0
 03/18  13:00:00,14.0875,5.3875,0
 03/18  14:00:00,14.9625,5.825,0
 03/18  15:00:00,15.9125,5.8875,0
 03/18  16:00:00,15.4125,6.0125,0
 03/18  17:00:00,14.3125,6.825,0
 03/18  18:00:00,13.2125,6.2625,0
 03/18  19:00:00,12.1125,5.0125,0
 03/18  20:00:00,11.325,3.975,0
 03/18  21:00:00,11.475,3.6,0
 03/18  22:00:00,12.0125,3.9125,0
 03/18  23:00:00,11.8875,4.7875,0
 03/18  24:00:00,11.325,4.2,0
 03/19  01:00:00,10.7875,5.85,0
 03/19  02:00:00,9.85,4.6375,0
 03/19  03:00:00,9.775,4.4125,0
 03/19  04:00:00,10,5.5125,0
 03/19  05:00:00,9.3125,4.7,0
 03/19  06:00:00,8.525,4.7875,0
 03/19  07:00:00,8.3,7.45,0.74322432
 03/19  08:00:00,9.3625,9.1125,1.48644864
 03/19  09:00:00,10.375,10.2375,7.06063104
 03/19  10:00:00,11.2875,8.55,7.06063104
 03/19  11:00:00,12.3875,4.6375,7.06063104
 03/19  12:00:00,13.4875,3.1,7.06063104
 03/19  13:00:00,14.2125,2.475,3.7161216
 03/19  14:00:00,15.15,4.35,7.06063104
 03/19  15:00:00,15.225,7.2625,7.06063104
 03/19  16:00:00,14.3125,7.8875,7.06063104
 03/19  17:00:00,13.525,8.7,7.06063104
 03/19  18:00:00,12.6125,8.6125,5.20257024
 03/19  19:00:00,11.8875,8.575,2.97289728
 03/19  20:00:00,11.325,7.4875,2.97289728
 03/19  21:00:00,10.7875,5.7625,0.74322432
 03/19  22:00:00,10.6,5.2,0.74322432
 03/19  23:00:00,10.6,5.2,0.37161216
 03/19  24:00:00,10.225,4.825,0.37161216
 03/20  01:00:00,9.625,3.975,0
 03/20  02:00:00,9.4,3.2875,0
 03/20  03:00:00,9.0875,2.7875,0
 03/20  04:00:00,8.2125,2.6,0
 03/20  05:00:00,7.425,2.9125,0
 03/20  06:00:00,7.575,2.1,0
 03/20  07:00:00,7.8,0.5625,0.74322432
 03/20  08:00:00,9.8625,0,1.48644864
 03/20  09:00:00,12.475,0.9375,7.06063104
 03/20  10:00:00,13.9875,3.8125,7.06063104
 03/20  11:00:00,14.4,6.7625,7.06063104
 03/20  12:00:00,14.775,7.7,7.06063104
 03/20  13:00:00,15.375,9.325,3.7161216
 03/20  14:00:00,15.225,8.9875,7.06063104
 03/20  15:00:00,14.625,8.575,7.06063104
 03/20  16:00:00,13.7125,10.05,7.06063104
 03/20  17:00:00,12.9875,11.1125,7.06063104
 03/20  18:00:00,12.1125,10.9875,5.20257024
 03/20  19:00:00,11.325,6.925,2.97289728
 03/20  20:00:00,10.7875,4.2875,2.97289728
 03/20  21:00:00,10.6,4.7875,0.74322432
 03/20  22:00:00,10.6,5.2,0.74322432
 03/20  23:00:00,10.6,4.2,0.37161216
 03/20  24:00:00,10.6,3.2875,0.37161216
 03/21  01:00:00,10.6,3.1,0
 03/21  02:00:00,10.9125,3.4125,0
 03/21  03:00:00,10.7875,3.2875,0
 03/21  04:00:00,10.9125,3.1,0
 03/21  05:00:00,10.4125,3.1,0
 03/21  06:00:00,10,2.475,0
 03/21  07:00:00,10.6875,2.4125,0.74322432
 03/21  08:00:00,12.1625,2.6,1.48644864
 03/21  09:00:00,12.425,4.85,7.06063104
 03/21  10:00:00,13.575,6.2,7.06063104
 03/21  11:00:00,14.4,6.2,7.06063104
 03/21  12:00:00,15.15,6.2,7.06063104
 03/21  13:00:00,15.6,8.7625,3.7161216
 03/21  14:00:00,15.225,8.675,7.06063104
 03/21  15:00:00,14.3125,7.075,7.06063104
 03/21  16:00:00,13.525,8.95,7.06063104
 03/21  17:00:00,12.3,10.6125,7.06063104
 03/21  18:00:00,11.325,10.175,5.20257024
 03/21  19:00:00,10.7875,8.4875,2.97289728
 03/21  20:00:00,10.225,8.7,2.97289728
 03/21  21:00:00,10,9.925,0.74322432
 03/21  22:00:00,10,10.925,0.74322432
 03/21  23:00:00,9.625,10.9875,0.37161216
 03/21  24:00:00,9.0875,8.55,0.37161216
 03/22  01:00:00,8.9,6.8875,0
 03/22  02:00:00,8.525,6.3875,0
 03/22  03:00:00,8.3,6.2,0
 03/22  04:00:00,8.675,6.5125,0
 03/22  05:00:00,8.525,6.3875,0
 03/22  06:00:00,8.3,4.8875,0
 03/22  07:00:00,7.3,4.1,0.74322432
 03/22  08:00:00,8.3875,5.4125,1.48644864
 03/22  09:00:00,8.025,6.825,7.06063104
 03/22  10:00:00,8.575,5.95,7.06063104
 03/22  11:00:00,10.15,6.45,7.06063104
 03/22  12:00:00,10.9125,8.5125,7.06063104
 03/22  13:00:00,11.1,9.6125,3.7161216
 03/22  14:00:00,11.1,10.1125,7.06063104
 03/22  15:00:00,11.1,10.3,7.06063104
 03/22  16:00:00,10.7875,9.675,7.06063104
 03/22  17:00:00,10.225,8.6125,7.06063104
 03/22  18:00:00,9.625,8.2,5.20257024
 03/22  19:00:00,9.0875,7.575,2.97289728
 03/22  20:00:00,8.9,5.95,2.97289728
 03/22  21:00:00,8.525,5.5125,0.74322432
 03/22  22:00:00,8.3,3.7625,0.74322432
 03/22  23:00:00,7.3,2.9125,0.37161216
 03/22  24:00:00,7.0125,1.1625,0.37161216
 03/23  01:00:00,6.8875,1.625,0
 03/23  02:00:00,5.6375,2.2875,0
 03/23  03:00:00,5.6875,0.7875,0
 03/23  04:00:00,5.4125,0.9375,0
 03/23  05:00:00,4.625,1.875,0
 03/23  06:00:00,4.4,2.725,0
 03/23  07:00:00,5.15,2.7875,0.74322432
 03/23  08:00:00,6.975,2.9125,1.48644864
 03/23  09:00:00,9.175,3.725,7.06063104
 03/23  10:00:00,10.375,5.4125,7.06063104
 03/23  11:00:00,11.2875,6.5125,7.06063104
 03/23  12:00:00,12.3875,5.075,7.06063104
 03/23  13:00:00,13.4875,5.4125,3.7161216
 03/23  14:00:00,13.525,7.1375,7.06063104
 03/23  15:00:00,13.3,7.3875,7.06063104
 03/23  16:00:00,13.3,7.5125,7.06063104
 03/23  17:00:00,12.9875,7.075,7.06063104
 03/23  18:00:00,12.425,7.0125,5.20257024
 03/23  19:00:00,11.8875,5.2625,2.97289728
 03/23  20:00:00,11.325,6.0375,2.97289728
 03/23  21:00:00,11.1,7.825,0.74322432
 03/23  22:00:00,11.1,7.575,0.74322432
 03/23  23:00:00,11.1,7.825,0.37161216
 03/23  24:00:00,11.475,8.8875,0.37161216
 03/24  01:00:00,11.7,9.6125,0
 03/24  02:00:00,11.0125,8.4875,0
 03/24  03:00:00,10.6,8.3875,0
 03/24  04:00:00,10.225,8.8,0
 03/24  05:00:00,10,7.175,0
 03/24  06:00:00,10,7.45,0
 03/24  07:00:00,10.375,8.2,0.74322432
 03/24  08:00:00,10.9125,8.2,0.74322432
 03/24  09:00:00,11.7875,8.8875,3.7161216
 03/24  10:00:00,12.575,11.8625,3.7161216
 03/24  11:00:00,13.1125,12.0875,3.7161216
 03/24  12:00:00,13.675,10.675,3.7161216
 03/24  13:00:00,13.9,10.6125,3.7161216
 03/24  14:00:00,13.525,11.1125,3.7161216
 03/24  15:00:00,12.6125,8.7375,0.74322432
 03/24  16:00:00,11.5125,6.575,0.74322432
 03/24  17:00:00,10.7875,5.575,0.74322432
 03/24  18:00:00,10.225,7.075,0
 03/24  19:00:00,10,6.95,0
 03/24  20:00:00,9.625,5.2,0
 03/24  21:00:00,9.0875,3.0375,0
 03/24  22:00:00,8.525,4.35,0
 03/24  23:00:00,8.3,4.3875,0
 03/24  24:00:00,8.3,2.6625,0
 03/25  01:00:00,8.3,0.7875,0
 03/25  02:00:00,8.3,0.9375,0
 03/25  03:00:00,7.9875,0.5625,0
 03/25  04:00:00,7.8,0,0
 03/25  05:00:00,7.8,0.9375,0
 03/25  06:00:00,7.425,2.1875,0
 03/25  07:00:00,7.2,2.2875,0
 03/25  08:00:00,8.2625,2.4125,0
 03/25  09:00:00,9.2125,2.9125,0
 03/25  10:00:00,10.4625,2.475,0
 03/25  11:00:00,12.1625,2.4125,0
 03/25  12:00:00,12.8,2.6,0
 03/25  13:00:00,13.4875,2.9125,0
 03/25  14:00:00,13.9,2.475,0
 03/25  15:00:00,13.9,4.0375,0
 03/25  16:00:00,13.525,5.825,0
 03/25  17:00:00,12.9875,6.5125,0
 03/25  18:00:00,12.1125,7.325,0
 03/25  19:00:00,11.0125,7.075,0
 03/25  20:00:00,10.6,6.3875,0
 03/25  21:00:00,10.6,4.8875,0
 03/25  22:00:00,10.6,3.7875,0
 03/25  23:00:00,10.6,4.6,0
 03/25  24:00:00,10.6,4.825,0
 03/26  01:00:00,10.6,4.6,0
